Model,Race,Sex,AgeRange,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Gemini-2.5-Pro,All,Male,40-49,Basal Forebrain,0.00043,0.00005,0.00043,0.00053,0.00033
Gemini-2.5-Pro,All,Male,40-49,Accumbens,0.0006,0.0001,0.0006,0.0008,0.0004
Gemini-2.5-Pro,All,Male,40-49,Ventral DC,0.0031,0.0003,0.0031,0.0037,0.0025
Gemini-2.5-Pro,All,Male,40-49,Lateral Ventricle,0.0140,0.0025,0.0140,0.0190,0.0090
Gemini-2.5-Pro,All,Male,50-59,Hippocampus,0.0046,0.0005,0.0046,0.0056,0.0036
Gemini-2.5-Pro,All,Male,50-59,Entorhinal Cortex,0.0009,0.0001,0.0009,0.0011,0.0007
Gemini-2.5-Pro,All,Male,50-59,Temporal Lobes,0.0970,0.0050,0.0970,0.1070,0.0870
Gemini-2.5-Pro,All,Male,50-59,Parietal Lobes,0.0920,0.0050,0.0920,0.1020,0.0820
Gemini-2.5-Pro,All,Male,50-59,Amygdala,0.0016,0.0002,0.0016,0.0020,0.0012
Gemini-2.5-Pro,All,Male,50-59,Basal Forebrain,0.00041,0.00005,0.00041,0.00051,0.00031
Gemini-2.5-Pro,All,Male,50-59,Accumbens,0.0006,0.0001,0.0006,0.0008,0.0004
Gemini-2.5-Pro,All,Male,50-59,Ventral DC,0.0030,0.0003,0.0030,0.0036,0.0024
Gemini-2.5-Pro,All,Male,50-59,Lateral Ventricle,0.0170,0.0030,0.0170,0.0230,0.0110
Gemini-2.5-Pro,All,Male,60-69,Hippocampus,0.0044,0.0005,0.0044,0.0054,0.0034
Gemini-2.5-Pro,All,Male,60-69,Entorhinal Cortex,0.0008,0.0001,0.0008,0.0010,0.0006
Gemini-2.5-Pro,All,Male,60-69,Temporal Lobes,0.0950,0.0055,0.0950,0.1060,0.0840
Gemini-2.5-Pro,All,Male,60-69,Parietal Lobes,0.0900,0.0055,0.0900,0.1010,0.0790
Gemini-2.5-Pro,All,Male,60-69,Amygdala,0.0015,0.0002,0.0015,0.0019,0.0011
Gemini-2.5-Pro,All,Male,60-69,Basal Forebrain,0.00039,0.00005,0.00039,0.00049,0.00029
Gemini-2.5-Pro,All,Male,60-69,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Gemini-2.5-Pro,All,Male,60-69,Ventral DC,0.0029,0.0003,0.0029,0.0035,0.0023
Gemini-2.5-Pro,All,Male,60-69,Lateral Ventricle,0.0200,0.0035,0.0200,0.0270,0.0130
Gemini-2.5-Pro,All,Male,70-79,Hippocampus,0.0041,0.0006,0.0041,0.0053,0.0029
Gemini-2.5-Pro,All,Male,70-79,Entorhinal Cortex,0.0007,0.0001,0.0007,0.0009,0.0005
Gemini-2.5-Pro,All,Male,70-79,Temporal Lobes,0.0920,0.0060,0.0920,0.1040,0.0800
Gemini-2.5-Pro,All,Male,70-79,Parietal Lobes,0.0870,0.0060,0.0870,0.0990,0.0750
Gemini-2.5-Pro,All,Male,70-79,Amygdala,0.0014,0.0002,0.0014,0.0018,0.0010
Gemini-2.5-Pro,All,Male,70-79,Basal Forebrain,0.00036,0.00005,0.00036,0.00046,0.00026
Gemini-2.5-Pro,All,Male,70-79,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Gemini-2.5-Pro,All,Male,70-79,Ventral DC,0.0027,0.0003,0.0027,0.0033,0.0021
Gemini-2.5-Pro,All,Male,70-79,Lateral Ventricle,0.0240,0.0040,0.0240,0.0320,0.0160
Gemini-2.5-Pro,All,Male,80-89,Hippocampus,0.0038,0.0006,0.0038,0.0050,0.0026
Gemini-2.5-Pro,All,Male,80-89,Entorhinal Cortex,0.0006,0.0001,0.0006,0.0008,0.0004
Gemini-2.5-Pro,All,Male,80-89,Temporal Lobes,0.0890,0.0065,0.0890,0.1020,0.0760
Gemini-2.5-Pro,All,Male,80-89,Parietal Lobes,0.0840,0.0065,0.0840,0.0970,0.0710
Gemini-2.5-Pro,All,Male,80-89,Amygdala,0.0013,0.0002,0.0013,0.0017,0.0009
Gemini-2.5-Pro,All,Male,80-89,Basal Forebrain,0.00033,0.00005,0.00033,0.00043,0.00023
Gemini-2.5-Pro,All,Male,80-89,Accumbens,0.0004,0.0001,0.0004,0.0006,0.0002
Gemini-2.5-Pro,All,Male,80-89,Ventral DC,0.0025,0.0003,0.0025,0.0031,0.0019
Gemini-2.5-Pro,All,Male,80-89,Lateral Ventricle,0.0280,0.0045,0.0280,0.0370,0.0190
Gemini-2.5-Pro,All,Female,20-29,Hippocampus,0.0051,0.0004,0.0051,0.0059,0.0043
Gemini-2.5-Pro,All,Female,20-29,Entorhinal Cortex,0.0011,0.0001,0.0011,0.0013,0.0009
Gemini-2.5-Pro,All,Female,20-29,Temporal Lobes,0.1020,0.0050,0.1020,0.1120,0.0920
Gemini-2.5-Pro,All,Female,20-29,Parietal Lobes,0.0970,0.0050,0.0970,0.1070,0.0870
Gemini-2.5-Pro,All,Female,20-29,Amygdala,0.0018,0.0002,0.0018,0.0022,0.0014
Gemini-2.5-Pro,All,Female,20-29,Basal Forebrain,0.00046,0.00005,0.00046,0.00056,0.00036
Gemini-2.5-Pro,All,Female,20-29,Accumbens,0.0007,0.0001,0.0007,0.0009,0.0005
Gemini-2.5-Pro,All,Female,20-29,Ventral DC,0.0034,0.0003,0.0034,0.0040,0.0028
Gemini-2.5-Pro,All,Female,20-29,Lateral Ventricle,0.0100,0.0020,0.0100,0.0140,0.0060
Gemini-2.5-Pro,All,Female,30-39,Hippocampus,0.0050,0.0004,0.0050,0.0058,0.0042
Gemini-2.5-Pro,All,Female,30-39,Entorhinal Cortex,0.0010,0.0001,0.0010,0.0012,0.0008
Gemini-2.5-Pro,All,Female,30-39,Temporal Lobes,0.1010,0.0050,0.1010,0.1110,0.0910
Gemini-2.5-Pro,All,Female,30-39,Parietal Lobes,0.0960,0.0050,0.0960,0.1060,0.0860
Gemini-2.5-Pro,All,Female,30-39,Amygdala,0.0017,0.0002,0.0017,0.0021,0.0013
Gemini-2.5-Pro,All,Female,30-39,Basal Forebrain,0.00045,0.00005,0.00045,0.00055,0.00035
Gemini-2.5-Pro,All,Female,30-39,Accumbens,0.0007,0.0001,0.0007,0.0009,0.0005
Gemini-2.5-Pro,All,Female,30-39,Ventral DC,0.0033,0.0003,0.0033,0.0039,0.0027
Gemini-2.5-Pro,All,Female,30-39,Lateral Ventricle,0.0110,0.0020,0.0110,0.0150,0.0070
Gemini-2.5-Pro,All,Female,40-49,Hippocampus,0.0049,0.0004,0.0049,0.0057,0.0041
Gemini-2.5-Pro,All,Female,40-49,Entorhinal Cortex,0.0010,0.0001,0.0010,0.0012,0.0008
Gemini-2.5-Pro,All,Female,40-49,Temporal Lobes,0.1000,0.0050,0.1000,0.1100,0.0900
Gemini-2.5-Pro,All,Female,40-49,Parietal Lobes,0.0950,0.0050,0.0950,0.1050,0.0850
Gemini-2.5-Pro,All,Female,40-49,Amygdala,0.0017,0.0002,0.0017,0.0021,0.0013
Gemini-2.5-Pro,All,Female,40-49,Basal Forebrain,0.00044,0.00005,0.00044,0.00054,0.00034
Gemini-2.5-Pro,All,Female,40-49,Accumbens,0.0006,0.0001,0.0006,0.0008,0.0004
Gemini-2.5-Pro,All,Female,40-49,Ventral DC,0.0032,0.0003,0.0032,0.0038,0.0026
Gemini-2.5-Pro,All,Female,40-49,Lateral Ventricle,0.0130,0.0025,0.0130,0.0180,0.0080
Gemini-2.5-Pro,All,Female,50-59,Hippocampus,0.0047,0.0005,0.0047,0.0057,0.0037
Gemini-2.5-Pro,All,Female,50-59,Entorhinal Cortex,0.0009,0.0001,0.0009,0.0011,0.0007
Gemini-2.5-Pro,All,Female,50-59,Temporal Lobes,0.0980,0.0050,0.0980,0.1080,0.0880
Gemini-2.5-Pro,All,Female,50-59,Parietal Lobes,0.0930,0.0050,0.0930,0.1030,0.0830
Gemini-2.5-Pro,All,Female,50-59,Amygdala,0.0016,0.0002,0.0016,0.0020,0.0012
Gemini-2.5-Pro,All,Female,50-59,Basal Forebrain,0.00042,0.00005,0.00042,0.00052,0.00032
Gemini-2.5-Pro,All,Female,50-59,Accumbens,0.0006,0.0001,0.0006,0.0008,0.0004
Gemini-2.5-Pro,All,Female,50-59,Ventral DC,0.0031,0.0003,0.0031,0.0037,0.0025
Gemini-2.5-Pro,All,Female,50-59,Lateral Ventricle,0.0160,0.0030,0.0160,0.0220,0.0100
Gemini-2.5-Pro,All,Female,60-69,Hippocampus,0.0045,0.0005,0.0045,0.0055,0.0035
Gemini-2.5-Pro,All,Female,60-69,Entorhinal Cortex,0.0008,0.0001,0.0008,0.0010,0.0006
Gemini-2.5-Pro,All,Female,60-69,Temporal Lobes,0.0960,0.0055,0.0960,0.1070,0.0850
Gemini-2.5-Pro,All,Female,60-69,Parietal Lobes,0.0910,0.0055,0.0910,0.1020,0.0800
Gemini-2.5-Pro,All,Female,60-69,Amygdala,0.0015,0.0002,0.0015,0.0019,0.0011
Gemini-2.5-Pro,All,Female,60-69,Basal Forebrain,0.00040,0.00005,0.00040,0.00050,0.00030
Gemini-2.5-Pro,All,Female,60-69,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Gemini-2.5-Pro,All,Female,60-69,Ventral DC,0.0030,0.0003,0.0030,0.0036,0.0024
Gemini-2.5-Pro,All,Female,60-69,Lateral Ventricle,0.0190,0.0035,0.0190,0.0260,0.0120
Gemini-2.5-Pro,All,Female,70-79,Hippocampus,0.0042,0.0006,0.0042,0.0054,0.0030
Gemini-2.5-Pro,All,Female,70-79,Entorhinal Cortex,0.0007,0.0001,0.0007,0.0009,0.0005
Gemini-2.5-Pro,All,Female,70-79,Temporal Lobes,0.0930,0.0060,0.0930
