clinical_feature,MRI_feature,disease,rvalue,pvalue_r
MMSE,lh_pericalcarine_thickness,HC,0.003193158,0.911757712
MMSE,lh_postcentral_thickness,HC,0.041713419,0.147524078
MMSE,lh_posteriorcingulate_thickness,HC,0.059139244,0.039948661
MMSE,lh_precentral_thickness,HC,0.030086416,0.296294426
MMSE,lh_precuneus_thickness,HC,0.065440799,0.022988855
MMSE,lh_rostralanteriorcingulate_thickness,HC,0.019348803,0.501850705
MMSE,lh_rostralmiddlefrontal_thickness,HC,0.02342877,0.416087133
MMSE,lh_superiorfrontal_thickness,HC,-0.028861052,0.316412317
MMSE,lh_superiorparietal_thickness,HC,0.042920145,0.13615342
MMSE,lh_superiortemporal_thickness,HC,0.070924741,0.013716176
MMSE,lh_supramarginal_thickness,HC,0.026897144,0.350479953
MMSE,lh_temporalpole_thickness,HC,0.084636854,0.003253843
MMSE,lh_transversetemporal_thickness,HC,0.019327111,0.502330367
MMSE,rh_bankssts_thickness,HC,0.017160791,0.551425961
MMSE,rh_caudalanteriorcingulate_thickness,HC,0.051326478,0.07466659
MMSE,rh_caudalmiddlefrontal_thickness,HC,-0.005544442,0.847408221
MMSE,rh_cuneus_thickness,HC,0.009462513,0.742599825
MMSE,rh_entorhinal_thickness,HC,0.025489732,0.376270948
MMSE,rh_frontalpole_thickness,HC,0.009724183,0.735744086
MMSE,rh_fusiform_thickness,HC,0.081985521,0.004369432
MMSE,rh_inferiorparietal_thickness,HC,0.041359863,0.150989221
MMSE,rh_inferiortemporal_thickness,HC,0.044127169,0.125468188
MMSE,rh_insula_thickness,HC,0.050065122,0.082097067
MMSE,rh_isthmuscingulate_thickness,HC,0.063510117,0.027355726
MMSE,rh_lateraloccipital_thickness,HC,0.089932922,0.00176274
MMSE,rh_lateralorbitofrontal_thickness,HC,0.058859985,0.040898057
MMSE,rh_lingual_thickness,HC,0.001482009,0.958979305
MMSE,rh_medialorbitofrontal_thickness,HC,0.02726079,0.344002562
MMSE,rh_middletemporal_thickness,HC,0.043624075,0.129839712
MMSE,rh_paracentral_thickness,HC,0.052737673,0.067013495
MMSE,rh_parahippocampal_thickness,HC,0.021419699,0.457193892
MMSE,rh_parsopercularis_thickness,HC,0.016783021,0.560222521
MMSE,rh_parsorbitalis_thickness,HC,0.02625289,0.362143927
MMSE,rh_parstriangularis_thickness,HC,0.075328088,0.008843382
MMSE,rh_pericalcarine_thickness,HC,-0.029590607,0.304329209
MMSE,rh_postcentral_thickness,HC,0.038054841,0.186432555
MMSE,rh_posteriorcingulate_thickness,HC,0.06383038,0.026585329
MMSE,rh_precentral_thickness,HC,-0.013214994,0.646479494
MMSE,rh_precuneus_thickness,HC,0.063310176,0.027846376
MMSE,rh_rostralanteriorcingulate_thickness,HC,0.006304444,0.826803014
MMSE,rh_rostralmiddlefrontal_thickness,HC,0.008633594,0.764450016
MMSE,rh_superiorfrontal_thickness,HC,0.000470572,0.986969821
MMSE,rh_superiorparietal_thickness,HC,0.059631183,0.038321632
MMSE,rh_superiortemporal_thickness,HC,0.063436757,0.027534877
MMSE,rh_supramarginal_thickness,HC,0.035728469,0.214833018
MMSE,rh_temporalpole_thickness,HC,0.061422551,0.032864044
MMSE,rh_transversetemporal_thickness,HC,-0.008012694,0.780941515
MMSE,lh_bankssts_area,HC,0.025836474,0.369810697
MMSE,lh_caudalanteriorcingulate_area,HC,0.016104825,0.576182993
MMSE,lh_caudalmiddlefrontal_area,HC,-0.07188647,0.012485472
MMSE,lh_cuneus_area,HC,0.006239981,0.828546342
MMSE,lh_entorhinal_area,HC,-0.008400053,0.770640932
MMSE,lh_frontalpole_area,HC,-0.038518726,0.181116999
MMSE,lh_fusiform_area,HC,0.030540606,0.289059637
MMSE,lh_inferiorparietal_area,HC,-0.030868018,0.283918625
MMSE,lh_inferiortemporal_area,HC,-0.033194857,0.249166912
MMSE,lh_insula_area,HC,0.04292536,0.136105791
MMSE,lh_isthmuscingulate_area,HC,-0.033324948,0.247315696
MMSE,lh_lateraloccipital_area,HC,-0.036624675,0.203544001
MMSE,lh_lateralorbitofrontal_area,HC,0.061695618,0.03209348
MMSE,lh_lingual_area,HC,-0.005082185,0.859993064
MMSE,lh_medialorbitofrontal_area,HC,-0.005152909,0.858065233
MMSE,lh_middletemporal_area,HC,-0.015755786,0.584479851
MMSE,lh_paracentral_area,HC,0.008801611,0.760005292
MMSE,lh_parahippocampal_area,HC,0.024018545,0.404446851
MMSE,lh_parsopercularis_area,HC,-0.026422847,0.359043577
MMSE,lh_parsorbitalis_area,HC,-0.033336781,0.247147793
MMSE,lh_parstriangularis_area,HC,7.61E-05,0.997893842
MMSE,lh_pericalcarine_area,HC,-0.008363999,0.771598021
MMSE,lh_postcentral_area,HC,-0.068965722,0.01655829
MMSE,lh_posteriorcingulate_area,HC,-0.06766009,0.018728105
MMSE,lh_precentral_area,HC,-0.067461099,0.019079741
MMSE,lh_precuneus_area,HC,-0.07782694,0.00682718
MMSE,lh_rostralanteriorcingulate_area,HC,-0.020246207,0.482220892
MMSE,lh_rostralmiddlefrontal_area,HC,-0.054882837,0.056624845
MMSE,lh_superiorfrontal_area,HC,-0.048743338,0.090514866
MMSE,lh_superiorparietal_area,HC,-0.060694476,0.034996327
MMSE,lh_superiortemporal_area,HC,0.000131932,0.996346645
MMSE,lh_supramarginal_area,HC,-0.017177596,0.551036239
MMSE,lh_temporalpole_area,HC,-0.038531461,0.180972678
MMSE,lh_transversetemporal_area,HC,0.038649091,0.1796436
MMSE,rh_bankssts_area,HC,-0.002280669,0.936911083
MMSE,rh_caudalanteriorcingulate_area,HC,-0.058543267,0.04199784
MMSE,rh_caudalmiddlefrontal_area,HC,-0.084228516,0.003406761
MMSE,rh_cuneus_area,HC,-0.059850456,0.037614744
MMSE,rh_entorhinal_area,HC,0.023535561,0.413964886
MMSE,rh_frontalpole_area,HC,-0.039267187,0.172778778
MMSE,rh_fusiform_area,HC,0.020887982,0.468442528
MMSE,rh_inferiorparietal_area,HC,-0.006700759,0.816104217
MMSE,rh_inferiortemporal_area,HC,-0.007970486,0.782066247
MMSE,rh_insula_area,HC,-0.014736368,0.60902423
MMSE,rh_isthmuscingulate_area,HC,-0.085329364,0.003008721
MMSE,rh_lateraloccipital_area,HC,-0.068294902,0.017643899
MMSE,rh_lateralorbitofrontal_area,HC,0.021281016,0.46011308
MMSE,rh_lingual_area,HC,-0.004152632,0.88540455
MMSE,rh_medialorbitofrontal_area,HC,0.037109764,0.197616551
MMSE,rh_middletemporal_area,HC,-0.031969782,0.267074866
MMSE,rh_paracentral_area,HC,0.020372823,0.479485235
MMSE,rh_parahippocampal_area,HC,-0.004663014,0.871435779
MMSE,rh_parsopercularis_area,HC,-0.033630139,0.243010618
MMSE,rh_parsorbitalis_area,HC,-0.062022205,0.031192245
MMSE,rh_parstriangularis_area,HC,-0.043198955,0.133624974
MMSE,rh_pericalcarine_area,HC,-0.017847587,0.535609374
MMSE,rh_postcentral_area,HC,-0.034625456,0.229337046
MMSE,rh_posteriorcingulate_area,HC,-0.056497918,0.04971836
MMSE,rh_precentral_area,HC,-0.050794712,0.077729386
MMSE,rh_precuneus_area,HC,-0.068720695,0.016947837
MMSE,rh_rostralanteriorcingulate_area,HC,-0.042832317,0.136957508
MMSE,rh_rostralmiddlefrontal_area,HC,-0.088709483,0.002036709
MMSE,rh_superiorfrontal_area,HC,-0.07406984,0.010047282
MMSE,rh_superiorparietal_area,HC,-0.030576448,0.288493803
MMSE,rh_superiortemporal_area,HC,0.014525829,0.614149856
MMSE,rh_supramarginal_area,HC,0.006785446,0.813822403
MMSE,rh_temporalpole_area,HC,0.003855019,0.893566711
MMSE,rh_transversetemporal_area,HC,0.026865251,0.351051712
MMSE,lh_bankssts_volume,HC,-0.001432008,0.960362121
MMSE,lh_caudalanteriorcingulate_volume,HC,-0.046037336,0.109906126
MMSE,lh_caudalmiddlefrontal_volume,HC,-0.00361871,0.900055652
MMSE,lh_cuneus_volume,HC,-0.012074953,0.675152185
MMSE,lh_entorhinal_volume,HC,0.012796635,0.656943517
MMSE,lh_frontalpole_volume,HC,-0.006790913,0.813675151
MMSE,lh_fusiform_volume,HC,0.057589669,0.045461178
MMSE,lh_inferiorparietal_volume,HC,0.027944782,0.332027313
MMSE,lh_inferiortemporal_volume,HC,0.025451568,0.376986215
MMSE,lh_insula_volume,HC,0.013401501,0.641836822
MMSE,lh_isthmuscingulate_volume,HC,0.054269588,0.059448135
MMSE,lh_lateraloccipital_volume,HC,0.05529212,0.054803296
MMSE,lh_lateralorbitofrontal_volume,HC,0.073547233,0.010588746
MMSE,lh_lingual_volume,HC,0.006984503,0.808465215
MMSE,lh_medialorbitofrontal_volume,HC,0.027798242,0.334570002
MMSE,lh_middletemporal_volume,HC,0.07233675,0.0119436
MMSE,lh_paracentral_volume,HC,0.02647992,0.358006207
MMSE,lh_parahippocampal_volume,HC,0.050443205,0.079809484
MMSE,lh_parsopercularis_volume,HC,-0.041772821,0.146947896
MMSE,lh_parsorbitalis_volume,HC,0.046235614,0.108382138
MMSE,lh_parstriangularis_volume,HC,0.017809091,0.53648984
MMSE,lh_pericalcarine_volume,HC,-0.006840109,0.8123504
MMSE,lh_postcentral_volume,HC,0.047168281,0.101436351
MMSE,lh_posteriorcingulate_volume,HC,-0.022334951,0.438191083
MMSE,lh_precentral_volume,HC,0.022013552,0.444811878
MMSE,lh_precuneus_volume,HC,0.022899125,0.426707067
MMSE,lh_rostralanteriorcingulate_volume,HC,0.000485919,0.986544892
MMSE,lh_rostralmiddlefrontal_volume,HC,0.00503618,0.861247549
MMSE,lh_superiorfrontal_volume,HC,0.014612596,0.6120352
MMSE,lh_superiorparietal_volume,HC,0.041020149,0.154376714
MMSE,lh_superiortemporal_volume,HC,0.020036004,0.486781147
MMSE,lh_supramarginal_volume,HC,0.020947041,0.467185603
MMSE,lh_temporalpole_volume,HC,0.062102917,0.030972889
MMSE,lh_transversetemporal_volume,HC,-0.010379008,0.718680659
MMSE,rh_bankssts_volume,HC,0.006724569,0.815462533
MMSE,rh_caudalanteriorcingulate_volume,HC,-0.009414043,0.743871992
MMSE,rh_caudalmiddlefrontal_volume,HC,-0.092949427,0.001225425
MMSE,rh_cuneus_volume,HC,-0.010507707,0.715343124
MMSE,rh_entorhinal_volume,HC,0.051310872,0.07475505
MMSE,rh_frontalpole_volume,HC,0.0020235,0.944012602
MMSE,rh_fusiform_volume,HC,0.037385958,0.194298531
MMSE,rh_inferiorparietal_volume,HC,0.050863754,0.077326042
MMSE,rh_inferiortemporal_volume,HC,0.040894696,0.155642163
MMSE,rh_insula_volume,HC,-0.004012419,0.889248471
MMSE,rh_isthmuscingulate_volume,HC,0.014947248,0.603909418
MMSE,rh_lateraloccipital_volume,HC,0.047466477,0.09929188
MMSE,rh_lateralorbitofrontal_volume,HC,0.07175842,0.012643489
MMSE,rh_lingual_volume,HC,-0.025279686,0.380217994
MMSE,rh_medialorbitofrontal_volume,HC,0.049336548,0.086654946
MMSE,rh_middletemporal_volume,HC,0.03332004,0.247385365
MMSE,rh_paracentral_volume,HC,0.084154885,0.00343502
MMSE,rh_parahippocampal_volume,HC,0.038154208,0.185284344
MMSE,rh_parsopercularis_volume,HC,0.000148271,0.995894212
MMSE,rh_parsorbitalis_volume,HC,0.002335455,0.93539885
MMSE,rh_parstriangularis_volume,HC,-0.016322794,0.57103005
MMSE,rh_pericalcarine_volume,HC,-0.043356483,0.13221252
MMSE,rh_postcentral_volume,HC,0.072085317,0.012243552
MMSE,rh_posteriorcingulate_volume,HC,-0.004050622,0.888200888
MMSE,rh_precentral_volume,HC,0.004721608,0.869834572
MMSE,rh_precuneus_volume,HC,-0.046870475,0.103614621
MMSE,rh_rostralanteriorcingulate_volume,HC,-0.020660204,0.473307658
MMSE,rh_rostralmiddlefrontal_volume,HC,-0.029116347,0.312148759
MMSE,rh_superiorfrontal_volume,HC,-0.002724002,0.924680899
MMSE,rh_superiorparietal_volume,HC,0.061769336,0.031888128
MMSE,rh_superiortemporal_volume,HC,0.088446504,0.002100474
MMSE,rh_supramarginal_volume,HC,0.045801831,0.111738171
MMSE,rh_temporalpole_volume,HC,0.035883549,0.212847973
MMSE,rh_transversetemporal_volume,HC,0.060946262,0.034245955
MMSE,Brainstem,HC,0.025534318,0.375436367
MMSE,cerebellum_total,HC,0.043011857,0.135317671
MMSE,GMV,HC,0.05449695,0.058388084
MMSE,mean_thickness,HC,0.073129931,0.011039558
MMSE,sGMV,HC,0.090282407,0.00169094
MMSE,TCV,HC,-0.00014776,0.995908352
MMSE,total_surface_arrea,HC,0.030283033,0.293147798
MMSE,CSF,HC,-0.058063684,0.043710686
MMSE,WMV,HC,0.008525264,0.767319895
MMSE,lh.accumbens.area.volume,MCI,0.168642722,0.003391847
MMSE,lh.amygdala.volume,MCI,0.176101417,0.002203102
MMSE,lh.caudate.volume,MCI,0.053331795,0.357294412
MMSE,lh.hippocampus.volume,MCI,0.190853393,0.000892245
MMSE,lh.pallidum.volume,MCI,0.146593136,0.011015207
MMSE,lh.putamen.volume,MCI,0.040312078,0.486683365
MMSE,lh.thalamus.volume,MCI,0.114358601,0.047818601
MMSE,lh.ventraldc.volume,MCI,0.122126121,0.034483124
MMSE,rh.accumbens.area.volume,MCI,0.118625332,0.040040678
MMSE,rh.amygdala.volume,MCI,0.141902862,0.013892537
MMSE,rh.caudate.volume,MCI,0.03197462,0.581191099
MMSE,rh.hippocampus.volume,MCI,0.140959558,0.014545121
MMSE,rh.pallidum.volume,MCI,0.085498882,0.139566201
MMSE,rh.putamen.volume,MCI,0.017546324,0.76214455
MMSE,rh.thalamus.volume,MCI,0.073519745,0.204155038
MMSE,rh.ventraldc.volume,MCI,0.110889928,0.055038443
MMSE,lh_bankssts_thickness,MCI,0.176246883,0.00218427
MMSE,lh_caudalanteriorcingulate_thickness,MCI,-0.178323977,0.001930918
MMSE,lh_caudalmiddlefrontal_thickness,MCI,0.114089301,0.04834923
MMSE,lh_cuneus_thickness,MCI,-0.063414903,0.273562493
MMSE,lh_entorhinal_thickness,MCI,0.127337975,0.027430529
MMSE,lh_frontalpole_thickness,MCI,0.002556795,0.964824546
MMSE,lh_fusiform_thickness,MCI,0.003146475,0.95671912
MMSE,lh_inferiorparietal_thickness,MCI,0.130765155,0.023500499
MMSE,lh_inferiortemporal_thickness,MCI,0.052945952,0.360788548
MMSE,lh_insula_thickness,MCI,0.011660171,0.840601771
MMSE,lh_isthmuscingulate_thickness,MCI,-0.052899187,0.361213488
MMSE,lh_lateraloccipital_thickness,MCI,0.018303806,0.752204288
MMSE,lh_lateralorbitofrontal_thickness,MCI,0.03276247,0.571906845
MMSE,lh_lingual_thickness,MCI,-0.049480753,0.393117633
MMSE,lh_medialorbitofrontal_thickness,MCI,-0.081393771,0.159655749
MMSE,lh_middletemporal_thickness,MCI,0.059354459,0.305523057
MMSE,lh_paracentral_thickness,MCI,0.107282563,0.063483421
MMSE,lh_parahippocampal_thickness,MCI,0.089800614,0.120653557
MMSE,lh_parsopercularis_thickness,MCI,0.113114031,0.050312257
MMSE,lh_parsorbitalis_thickness,MCI,-0.064144495,0.268070026
MMSE,lh_parstriangularis_thickness,MCI,0.041137921,0.477793647
MMSE,lh_pericalcarine_thickness,MCI,0.095022813,0.10044678
MMSE,lh_postcentral_thickness,MCI,0.037760321,0.51470442
MMSE,lh_posteriorcingulate_thickness,MCI,-0.001502215,0.979328703
MMSE,lh_precentral_thickness,MCI,-0.000227598,0.99686779
MMSE,lh_precuneus_thickness,MCI,0.051449374,0.374542164
MMSE,lh_rostralanteriorcingulate_thickness,MCI,-0.043958304,0.448110781
MMSE,lh_rostralmiddlefrontal_thickness,MCI,-0.00316112,0.956517875
MMSE,lh_superiorfrontal_thickness,MCI,0.005788743,0.920466398
MMSE,lh_superiorparietal_thickness,MCI,0.072334922,0.211561084
MMSE,lh_superiortemporal_thickness,MCI,0.076839702,0.184406244
MMSE,lh_supramarginal_thickness,MCI,0.039941667,0.49069933
MMSE,lh_temporalpole_thickness,MCI,0.09041103,0.118139788
MMSE,lh_transversetemporal_thickness,MCI,-0.002764072,0.961974972
MMSE,rh_bankssts_thickness,MCI,0.004750765,0.934692344
MMSE,rh_caudalanteriorcingulate_thickness,MCI,-0.156318936,0.006669368
MMSE,rh_caudalmiddlefrontal_thickness,MCI,0.070604571,0.222721236
MMSE,rh_cuneus_thickness,MCI,-0.045440444,0.43293976
MMSE,rh_entorhinal_thickness,MCI,0.056025762,0.33349235
MMSE,rh_frontalpole_thickness,MCI,-0.065839249,0.255604146
MMSE,rh_fusiform_thickness,MCI,-0.001508021,0.97924883
MMSE,rh_inferiorparietal_thickness,MCI,0.06052284,0.296083882
MMSE,rh_inferiortemporal_thickness,MCI,0.036963232,0.523625215
MMSE,rh_insula_thickness,MCI,0.057571434,0.320306528
MMSE,rh_isthmuscingulate_thickness,MCI,0.037157579,0.521442886
MMSE,rh_lateraloccipital_thickness,MCI,0.037638778,0.5160596
MMSE,rh_lateralorbitofrontal_thickness,MCI,-0.00115328,0.984129515
MMSE,rh_lingual_thickness,MCI,-0.009183728,0.874136792
MMSE,rh_medialorbitofrontal_thickness,MCI,-0.085293314,0.140523818
MMSE,rh_middletemporal_thickness,MCI,0.060026874,0.300066733
MMSE,rh_paracentral_thickness,MCI,0.063352252,0.274037681
MMSE,rh_parahippocampal_thickness,MCI,0.040989195,0.479388043
MMSE,rh_parsopercularis_thickness,MCI,0.13020344,0.024109219
MMSE,rh_parsorbitalis_thickness,MCI,-0.024416646,0.673604658
MMSE,rh_parstriangularis_thickness,MCI,0.004097458,0.94365716
MMSE,rh_pericalcarine_thickness,MCI,0.046637271,0.42090795
MMSE,rh_postcentral_thickness,MCI,-0.020145614,0.728207565
MMSE,rh_posteriorcingulate_thickness,MCI,0.038843231,0.502711929
MMSE,rh_precentral_thickness,MCI,-0.003439928,0.952687079
MMSE,rh_precuneus_thickness,MCI,0.089550234,0.121696619
MMSE,rh_rostralanteriorcingulate_thickness,MCI,-0.124249167,0.03144323
MMSE,rh_rostralmiddlefrontal_thickness,MCI,-0.026497869,0.647584193
MMSE,rh_superiorfrontal_thickness,MCI,0.025637196,0.658295134
MMSE,rh_superiorparietal_thickness,MCI,0.028494638,0.623015536
MMSE,rh_superiortemporal_thickness,MCI,0.042791146,0.460266216
MMSE,rh_supramarginal_thickness,MCI,0.014345621,0.804560847
MMSE,rh_temporalpole_thickness,MCI,0.062956718,0.277050641
MMSE,rh_transversetemporal_thickness,MCI,-0.011705023,0.83999686
MMSE,lh_bankssts_area,MCI,0.120499524,0.036978019
MMSE,lh_caudalanteriorcingulate_area,MCI,0.111456506,0.053800829
MMSE,lh_caudalmiddlefrontal_area,MCI,0.035083471,0.544970962
MMSE,lh_cuneus_area,MCI,0.045580574,0.43152086
MMSE,lh_entorhinal_area,MCI,0.14554566,0.011607611
MMSE,lh_frontalpole_area,MCI,0.128361315,0.026201885
MMSE,lh_fusiform_area,MCI,0.244379202,1.87E-05
MMSE,lh_inferiorparietal_area,MCI,0.074728713,0.196793407
MMSE,lh_inferiortemporal_area,MCI,0.14203189,0.013805305
MMSE,lh_insula_area,MCI,0.155578903,0.006935713
MMSE,lh_isthmuscingulate_area,MCI,0.089362601,0.12248287
MMSE,lh_lateraloccipital_area,MCI,0.048305827,0.404463927
MMSE,lh_lateralorbitofrontal_area,MCI,0.115232735,0.04612965
MMSE,lh_lingual_area,MCI,0.083062778,0.151240201
MMSE,lh_medialorbitofrontal_area,MCI,0.170320341,0.003082667
MMSE,lh_middletemporal_area,MCI,0.12849393,0.026046181
MMSE,lh_paracentral_area,MCI,0.015301886,0.791821951
MMSE,lh_parahippocampal_area,MCI,0.170672521,0.003021103
MMSE,lh_parsopercularis_area,MCI,0.063262238,0.274721392
MMSE,lh_parsorbitalis_area,MCI,0.11321347,0.050109111
MMSE,lh_parstriangularis_area,MCI,0.099075522,0.086695679
MMSE,lh_pericalcarine_area,MCI,0.017118848,0.767771618
MMSE,lh_postcentral_area,MCI,0.146069693,0.011307815
MMSE,lh_posteriorcingulate_area,MCI,0.018094962,0.754940897
MMSE,lh_precentral_area,MCI,0.066528057,0.250653984
MMSE,lh_precuneus_area,MCI,0.068591101,0.236227651
MMSE,lh_rostralanteriorcingulate_area,MCI,0.119822617,0.038060452
MMSE,lh_rostralmiddlefrontal_area,MCI,0.093874492,0.104642562
MMSE,lh_superiorfrontal_area,MCI,0.114031706,0.048463351
MMSE,lh_superiorparietal_area,MCI,-0.028226566,0.626290568
MMSE,lh_superiortemporal_area,MCI,0.151307209,0.008667278
MMSE,lh_supramarginal_area,MCI,0.121939884,0.034761324
MMSE,lh_temporalpole_area,MCI,0.120772046,0.036549656
MMSE,lh_transversetemporal_area,MCI,0.035100168,0.544779481
MMSE,rh_bankssts_area,MCI,0.134173072,0.020084512
MMSE,rh_caudalanteriorcingulate_area,MCI,0.042925777,0.458854795
MMSE,rh_caudalmiddlefrontal_area,MCI,0.06805121,0.239945262
MMSE,rh_cuneus_area,MCI,-0.020567351,0.722748923
MMSE,rh_entorhinal_area,MCI,0.160639998,0.00528898
MMSE,rh_frontalpole_area,MCI,0.080648552,0.163525183
MMSE,rh_fusiform_area,MCI,0.113845665,0.048833524
MMSE,rh_inferiorparietal_area,MCI,0.123041009,0.033143802
MMSE,rh_inferiortemporal_area,MCI,0.192260963,0.000815621
MMSE,rh_insula_area,MCI,0.134192941,0.020065933
MMSE,rh_isthmuscingulate_area,MCI,0.105544995,0.06791606
MMSE,rh_lateraloccipital_area,MCI,-0.045148416,0.435905313
MMSE,rh_lateralorbitofrontal_area,MCI,0.165841767,0.003971149
MMSE,rh_lingual_area,MCI,0.071037706,0.219889102
MMSE,rh_medialorbitofrontal_area,MCI,0.158689187,0.005876778
MMSE,rh_middletemporal_area,MCI,0.179329553,0.001818174
MMSE,rh_paracentral_area,MCI,0.005047067,0.930629082
MMSE,rh_parahippocampal_area,MCI,0.108000995,0.061721516
MMSE,rh_parsopercularis_area,MCI,0.085546534,0.139344934
MMSE,rh_parsorbitalis_area,MCI,0.046588147,0.421397925
MMSE,rh_parstriangularis_area,MCI,0.014359297,0.804378294
MMSE,rh_pericalcarine_area,MCI,0.042115088,0.467390152
MMSE,rh_postcentral_area,MCI,0.075183903,0.194072399
MMSE,rh_posteriorcingulate_area,MCI,0.104369914,0.071054944
MMSE,rh_precentral_area,MCI,0.094570083,0.102084766
MMSE,rh_precuneus_area,MCI,0.043426036,0.453631472
MMSE,rh_rostralanteriorcingulate_area,MCI,0.138585043,0.016308207
MMSE,rh_rostralmiddlefrontal_area,MCI,0.087173677,0.131949583
MMSE,rh_superiorfrontal_area,MCI,0.102834351,0.075334066
MMSE,rh_superiorparietal_area,MCI,0.035679462,0.538156857
MMSE,rh_superiortemporal_area,MCI,0.131233769,0.02300287
MMSE,rh_supramarginal_area,MCI,0.087608752,0.130024375
MMSE,rh_temporalpole_area,MCI,0.17218316,0.002769489
MMSE,rh_transversetemporal_area,MCI,0.114941272,0.046687155
MMSE,lh_bankssts_volume,MCI,0.188969291,0.001005215
MMSE,lh_caudalanteriorcingulate_volume,MCI,-0.022554392,0.697222754
MMSE,lh_caudalmiddlefrontal_volume,MCI,0.125212609,0.030141019
MMSE,lh_cuneus_volume,MCI,0.017136224,0.767542651
MMSE,lh_entorhinal_volume,MCI,0.150577683,0.008998692
MMSE,lh_frontalpole_volume,MCI,0.050430767,0.38408515
MMSE,lh_fusiform_volume,MCI,0.1923045,0.00081335
MMSE,lh_inferiorparietal_volume,MCI,0.130146764,0.024171387
MMSE,lh_inferiortemporal_volume,MCI,0.133033421,0.021175489
MMSE,lh_insula_volume,MCI,0.133243531,0.020970574
MMSE,lh_isthmuscingulate_volume,MCI,0.083910143,0.147098394
MMSE,lh_lateraloccipital_volume,MCI,0.074078408,0.200728833
MMSE,lh_lateralorbitofrontal_volume,MCI,0.130829845,0.023431256
MMSE,lh_lingual_volume,MCI,0.03211154,0.579572559
MMSE,lh_medialorbitofrontal_volume,MCI,0.140463185,0.014899195
MMSE,lh_middletemporal_volume,MCI,0.130951825,0.023301168
MMSE,lh_paracentral_volume,MCI,0.068866655,0.234345928
MMSE,lh_parahippocampal_volume,MCI,0.192390006,0.000808909
MMSE,lh_parsopercularis_volume,MCI,0.099275889,0.086057155
MMSE,lh_parsorbitalis_volume,MCI,0.071353461,0.217840746
MMSE,lh_parstriangularis_volume,MCI,0.103983226,0.072113386
MMSE,lh_pericalcarine_volume,MCI,0.09075179,0.116754382
MMSE,lh_postcentral_volume,MCI,0.180359285,0.001708988
MMSE,lh_posteriorcingulate_volume,MCI,0.007638802,0.895176094
MMSE,lh_precentral_volume,MCI,0.126315469,0.02870724
MMSE,lh_precuneus_volume,MCI,0.16518737,0.004118767
MMSE,lh_rostralanteriorcingulate_volume,MCI,0.085067173,0.141583074
MMSE,lh_rostralmiddlefrontal_volume,MCI,0.150707335,0.008938983
MMSE,lh_superiorfrontal_volume,MCI,0.13853271,0.016349082
MMSE,lh_superiorparietal_volume,MCI,0.06161198,0.287461608
MMSE,lh_superiortemporal_volume,MCI,0.15471384,0.007259079
MMSE,lh_supramarginal_volume,MCI,0.172882668,0.00265956
MMSE,lh_temporalpole_volume,MCI,0.176868746,0.00210541
