Model,Race,Sex,AgeRange,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
GPT-5,All,Male,40-49,Entorhinal Cortex,0.00143,0.00012,0.00143,0.00167,0.00119
GPT-5,All,Male,40-49,Temporal Lobes,0.07150,0.00400,0.07150,0.07950,0.06350
GPT-5,All,Male,40-49,Parietal Lobes,0.08150,0.00450,0.08150,0.09050,0.07250
GPT-5,All,Male,40-49,Amygdala,0.00178,0.00020,0.00178,0.00218,0.00138
GPT-5,All,Male,40-49,Basal Forebrain,0.00153,0.00015,0.00153,0.00183,0.00123
GPT-5,All,Male,40-49,Accumbens,0.00075,0.00008,0.00075,0.00091,0.00059
GPT-5,All,Male,40-49,Ventral DC,0.00233,0.00018,0.00233,0.00269,0.00197
GPT-5,All,Male,40-49,Lateral Ventricle,0.01800,0.00250,0.01800,0.02300,0.01300
GPT-5,All,Female,40-49,Hippocampus,0.00540,0.00035,0.00540,0.00610,0.00470
GPT-5,All,Female,40-49,Entorhinal Cortex,0.00148,0.00012,0.00148,0.00172,0.00124
GPT-5,All,Female,40-49,Temporal Lobes,0.07350,0.00400,0.07350,0.08150,0.06550
GPT-5,All,Female,40-49,Parietal Lobes,0.08250,0.00450,0.08250,0.09150,0.07350
GPT-5,All,Female,40-49,Amygdala,0.00188,0.00020,0.00188,0.00228,0.00148
GPT-5,All,Female,40-49,Basal Forebrain,0.00158,0.00015,0.00158,0.00188,0.00128
GPT-5,All,Female,40-49,Accumbens,0.00078,0.00008,0.00078,0.00094,0.00062
GPT-5,All,Female,40-49,Ventral DC,0.00238,0.00018,0.00238,0.00274,0.00202
GPT-5,All,Female,40-49,Lateral Ventricle,0.01750,0.00250,0.01750,0.02250,0.01250
GPT-5,All,Male,50-59,Hippocampus,0.00510,0.00035,0.00510,0.00580,0.00440
GPT-5,All,Male,50-59,Entorhinal Cortex,0.00141,0.00012,0.00141,0.00165,0.00117
GPT-5,All,Male,50-59,Temporal Lobes,0.07050,0.00400,0.07050,0.07850,0.06250
GPT-5,All,Male,50-59,Parietal Lobes,0.08050,0.00450,0.08050,0.08950,0.07150
GPT-5,All,Male,50-59,Amygdala,0.00175,0.00020,0.00175,0.00215,0.00135
GPT-5,All,Male,50-59,Basal Forebrain,0.00151,0.00015,0.00151,0.00181,0.00121
GPT-5,All,Male,50-59,Accumbens,0.00074,0.00008,0.00074,0.00090,0.00058
GPT-5,All,Male,50-59,Ventral DC,0.00231,0.00018,0.00231,0.00267,0.00195
GPT-5,All,Male,50-59,Lateral Ventricle,0.02000,0.00250,0.02000,0.02500,0.01500
GPT-5,All,Female,50-59,Hippocampus,0.00530,0.00035,0.00530,0.00600,0.00460
GPT-5,All,Female,50-59,Entorhinal Cortex,0.00146,0.00012,0.00146,0.00170,0.00122
GPT-5,All,Female,50-59,Temporal Lobes,0.07250,0.00400,0.07250,0.08050,0.06450
GPT-5,All,Female,50-59,Parietal Lobes,0.08150,0.00450,0.08150,0.09050,0.07250
GPT-5,All,Female,50-59,Amygdala,0.00185,0.00020,0.00185,0.00225,0.00145
GPT-5,All,Female,50-59,Basal Forebrain,0.00156,0.00015,0.00156,0.00186,0.00126
GPT-5,All,Female,50-59,Accumbens,0.00077,0.00008,0.00077,0.00093,0.00061
GPT-5,All,Female,50-59,Ventral DC,0.00236,0.00018,0.00236,0.00272,0.00200
GPT-5,All,Female,50-59,Lateral Ventricle,0.01950,0.00250,0.01950,0.02450,0.01450
GPT-5,All,Male,60-69,Hippocampus,0.00490,0.00035,0.00490,0.00560,0.00420
GPT-5,All,Male,60-69,Entorhinal Cortex,0.00139,0.00012,0.00139,0.00163,0.00115
GPT-5,All,Male,60-69,Temporal Lobes,0.06900,0.00400,0.06900,0.07700,0.06100
GPT-5,All,Male,60-69,Parietal Lobes,0.07900,0.00450,0.07900,0.08800,0.07000
GPT-5,All,Male,60-69,Amygdala,0.00172,0.00020,0.00172,0.00212,0.00132
GPT-5,All,Male,60-69,Basal Forebrain,0.00149,0.00015,0.00149,0.00179,0.00119
GPT-5,All,Male,60-69,Accumbens,0.000735,0.00008,0.000735,0.000895,0.000575
GPT-5,All,Male,60-69,Ventral DC,0.00229,0.00018,0.00229,0.00265,0.00193
GPT-5,All,Male,60-69,Lateral Ventricle,0.02200,0.00250,0.02200,0.02700,0.01700
GPT-5,All,Female,60-69,Hippocampus,0.00510,0.00035,0.00510,0.00580,0.00440
GPT-5,All,Female,60-69,Entorhinal Cortex,0.00144,0.00012,0.00144,0.00168,0.00120
GPT-5,All,Female,60-69,Temporal Lobes,0.07100,0.00400,0.07100,0.07900,0.06300
GPT-5,All,Female,60-69,Parietal Lobes,0.08000,0.00450,0.08000,0.08900,0.07100
GPT-5,All,Female,60-69,Amygdala,0.00182,0.00020,0.00182,0.00222,0.00142
GPT-5,All,Female,60-69,Basal Forebrain,0.00154,0.00015,0.00154,0.00184,0.00124
GPT-5,All,Female,60-69,Accumbens,0.000765,0.00008,0.000765,0.000925,0.000605
GPT-5,All,Female,60-69,Ventral DC,0.00234,0.00018,0.00234,0.00270,0.00198
GPT-5,All,Female,60-69,Lateral Ventricle,0.02150,0.00250,0.02150,0.02650,0.01650
GPT-5,All,Male,70-79,Hippocampus,0.00470,0.00035,0.00470,0.00540,0.00400
GPT-5,All,Male,70-79,Entorhinal Cortex,0.00137,0.00012,0.00137,0.00161,0.00113
GPT-5,All,Male,70-79,Temporal Lobes,0.06750,0.00400,0.06750,0.07550,0.05950
GPT-5,All,Male,70-79,Parietal Lobes,0.07750,0.00450,0.07750,0.08650,0.06850
GPT-5,All,Male,70-79,Amygdala,0.00168,0.00020,0.00168,0.00208,0.00128
GPT-5,All,Male,70-79,Basal Forebrain,0.00147,0.00015,0.00147,0.00177,0.00117
GPT-5,All,Male,70-79,Accumbens,0.000730,0.00008,0.000730,0.000890,0.000570
GPT-5,All,Male,70-79,Ventral DC,0.00227,0.00018,0.00227,0.00263,0.00191
GPT-5,All,Male,70-79,Lateral Ventricle,0.02300,0.00250,0.02300,0.02800,0.01800
GPT-5,All,Female,70-79,Hippocampus,0.00490,0.00035,0.00490,0.00560,0.00420
GPT-5,All,Female,70-79,Entorhinal Cortex,0.00142,0.00012,0.00142,0.00166,0.00118
GPT-5,All,Female,70-79,Temporal Lobes,0.06950,0.00400,0.06950,0.07750,0.06150
GPT-5,All,Female,70-79,Parietal Lobes,0.07850,0.00450,0.07850,0.08750,0.06950
GPT-5,All,Female,70-79,Amygdala,0.00178,0.00020,0.00178,0.00218,0.00138
GPT-5,All,Female,70-79,Basal Forebrain,0.00152,0.00015,0.00152,0.00182,0.00122
GPT-5,All,Female,70-79,Accumbens,0.000760,0.00008,0.000760,0.000920,0.000600
GPT-5,All,Female,70-79,Ventral DC,0.00232,0.00018,0.00232,0.00268,0.00196
GPT-5,All,Female,70-79,Lateral Ventricle,0.02250,0.00250,0.02250,0.02750,0.01750
GPT-5,All,Male,80-89,Hippocampus,0.00450,0.00035,0.00450,0.00520,0.00380
GPT-5,All,Male,80-89,Entorhinal Cortex,0.00134,0.00012,0.00134,0.00158,0.00110
GPT-5,All,Male,80-89,Temporal Lobes,0.06600,0.00400,0.06600,0.07400,0.05800
GPT-5,All,Male,80-89,Parietal Lobes,0.07600,0.00450,0.07600,0.08500,0.06700
GPT-5,All,Male,80-89,Amygdala,0.00164,0.00020,0.00164,0.00204,0.00124
GPT-5,All,Male,80-89,Basal Forebrain,0.00144,0.00015,0.00144,0.00174,0.00114
GPT-5,All,Male,80-89,Accumbens,0.000720,0.00008,0.000720,0.000880,0.000560
GPT-5,All,Male,80-89,Ventral DC,0.00224,0.00018,0.00224,0.00260,0.00188
GPT-5,All,Male,80-89,Lateral Ventricle,0.02400,0.00250,0.02400,0.02900,0.01900
GPT-5,All,Female,80-89,Hippocampus,0.00470,0.00035,0.00470,0.00540,0.00400
GPT-5,All,Female,80-89,Entorhinal Cortex,0.00139,0.00012,0.00139,0.00163,0.00115
GPT-5,All,Female,80-89,Temporal Lobes,0.06800,0.00400,0.06800,0.07600,0.06000
GPT-5,All,Female,80-89,Parietal Lobes,0.07700,0.00450,0.07700,0.08600,0.06800
GPT-5,All,Female,80-89,Amygdala,0.00174,0.00020,0.00174,0.00214,0.00134
GPT-5,All,Female,80-89,Basal Forebrain,0.00149,0.00015,0.00149,0.00179,0.00119
GPT-5,All,Female,80-89,Accumbens,0.000750,0.00008,0.000750,0.000910,0.000590
GPT-5,All,Female,80-89,Ventral DC,0.00229,0.00018,0.00229,0.00265,0.00193
GPT-5,All,Female,80-89,Lateral Ventricle,0.02350,0.00250,0.02350,0.02850,0.01850
