Model,Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Perplexity,All,Female,80-89,Temporal Lobes,0.1590,0.0080,0.1590,0.1750,0.1430
Perplexity,All,Female,80-89,Parietal Lobes,0.1360,0.0070,0.1360,0.1500,0.1220
Perplexity,All,Female,80-89,Amygdala,0.0015,0.0002,0.0015,0.0018,0.0012
Perplexity,All,Female,80-89,Basal Forebrain,0.0012,0.0002,0.0012,0.0015,0.0009
Perplexity,All,Female,80-89,Accumbens,0.0005,0.0001,0.0005,0.0006,0.0004
Perplexity,All,Female,80-89,Ventral DC,0.0027,0.0003,0.0027,0.0031,0.0023
Perplexity,All,Female,80-89,Lateral Ventricle,0.0145,0.0020,0.0145,0.0185,0.0105
Perplexity,All,Female,90+,Hippocampus,0.0035,0.0003,0.0035,0.0041,0.0029
Perplexity,All,Female,90+,Entorhinal Cortex,0.0008,0.0001,0.0008,0.0010,0.0006
Perplexity,All,Female,90+,Temporal Lobes,0.1580,0.0080,0.1580,0.1740,0.1420
Perplexity,All,Female,90+,Parietal Lobes,0.1350,0.0070,0.1350,0.1490,0.1210
Perplexity,All,Female,90+,Amygdala,0.0015,0.0002,0.0015,0.0018,0.0012
Perplexity,All,Female,90+,Basal Forebrain,0.0012,0.0002,0.0012,0.0015,0.0009
Perplexity,All,Female,90+,Accumbens,0.0005,0.0001,0.0005,0.0006,0.0004
Perplexity,All,Female,90+,Ventral DC,0.0026,0.0003,0.0026,0.0030,0.0022
Perplexity,All,Female,90+,Lateral Ventricle,0.0150,0.0020,0.0150,0.0190,0.0110
